Distance Correlation,MI,Laplacian Score,ReliefF,Gini Index,JMI,MRI
Line_75,Line_16,Line_58,Line_53,Line_175,Line_156,Line_158
Line_120,Line_78,Line_49,Line_60,Line_176,Line_5,Line_6
Line_109,Line_75,Line_181,Line_155,Line_14,Line_168,Line_132
Line_66,Line_178,Line_66,Line_70,Line_110,Line_8,Line_91
Line_170,Line_76,Line_180,Line_139,Line_63,Line_150,Line_126
Line_150,Line_63,Line_109,Line_141,Line_75,Line_35,Line_165
Line_58,Line_177,Line_120,Line_142,Line_174,Line_13,Line_138
Line_49,Line_173,Line_92,Line_26,Line_135,Line_101,Line_127
Line_38,Line_121,Line_93,Line_69,Line_46,Line_116,Line_166
Line_162,Line_7,Line_162,Line_98,Line_42,Line_73,Line_40
Line_93,Line_14,Line_96,Line_27,Line_43,Line_135,Line_22
Line_82,Line_110,Line_82,Line_97,Line_13,Line_167,Line_83
Line_96,Line_108,Line_95,Line_116,Line_109,Line_174,Line_62
Line_71,Line_135,Line_64,Line_114,Line_58,Line_70,Line_185
Line_149,Line_109,Line_65,Line_115,Line_49,Line_110,Line_162
Line_64,Line_13,Line_94,Line_9,Line_167,Line_182,Line_80
Line_95,Line_42,Line_170,Line_73,Line_68,Line_133,Line_18
Line_65,Line_46,Line_150,Line_8,Line_66,Line_78,Line_23
Line_94,Line_112,Line_89,Line_117,Line_129,Line_130,Line_11
Line_89,Line_43,Line_83,Line_101,Line_130,Line_186,Line_99
Line_92,Line_155,Line_90,Line_100,Line_84,Line_76,Line_38
Line_88,Line_175,Line_88,Line_163,Line_95,Line_155,Line_29
Line_90,Line_130,Line_17,Line_99,Line_77,Line_184,Line_20
Line_77,Line_129,Line_40,Line_160,Line_4,Line_173,Line_92
Line_84,Line_176,Line_2,Line_34,Line_64,Line_114,Line_97
Line_169,Line_27,Line_62,Line_161,Line_96,Line_145,Line_17
Line_40,Line_12,Line_1,Line_179,Line_82,Line_160,Line_1
Line_17,Line_100,Line_45,Line_185,Line_65,Line_115,Line_28
Line_108,Line_5,Line_44,Line_184,Line_93,Line_85,Line_8
Line_2,Line_101,Line_84,Line_136,Line_108,Line_129,Line_179
Line_1,Line_60,Line_47,Line_61,Line_71,Line_141,Line_47
Line_45,Line_182,Line_77,Line_13,Line_88,Line_95,Line_3
Line_44,Line_56,Line_4,Line_135,Line_90,Line_185,Line_186
Line_47,Line_157,Line_3,Line_42,Line_169,Line_14,Line_44
Line_166,Line_26,Line_71,Line_43,Line_94,Line_98,Line_85
Line_3,Line_9,Line_166,Line_46,Line_183,Line_108,Line_163
Line_148,Line_53,Line_138,Line_14,Line_86,Line_61,Line_2
Line_154,Line_139,Line_149,Line_119,Line_89,Line_88,Line_45
Line_62,Line_156,Line_169,Line_156,Line_19,Line_19,Line_98
Line_4,Line_141,Line_18,Line_157,Line_100,Line_179,Line_73
Line_83,Line_183,Line_19,Line_125,Line_101,Line_146,Line_125
Line_138,Line_136,Line_108,Line_63,Line_1,Line_49,Line_115
Line_159,Line_88,Line_36,Line_181,Line_45,Line_12,Line_117
Line_36,Line_142,Line_148,Line_180,Line_168,Line_86,Line_116
Line_18,Line_77,Line_154,Line_120,Line_18,Line_163,Line_142
Line_168,Line_65,Line_171,Line_129,Line_2,Line_11,Line_4
Line_19,Line_95,Line_127,Line_130,Line_47,Line_41,Line_64
Line_165,Line_64,Line_168,Line_178,Line_44,Line_93,Line_26
Line_6,Line_94,Line_91,Line_170,Line_17,Line_175,Line_60
Line_171,Line_102,Line_86,Line_150,Line_136,Line_9,Line_139
Line_127,Line_82,Line_105,Line_177,Line_3,Line_111,Line_9
Line_112,Line_90,Line_6,Line_173,Line_85,Line_102,Line_65
Line_102,Line_17,Line_165,Line_176,Line_112,Line_142,Line_53
Line_158,Line_61,Line_158,Line_149,Line_38,Line_97,Line_141
Line_144,Line_4,Line_80,Line_11,Line_56,Line_4,Line_86
Line_105,Line_84,Line_123,Line_0,Line_157,Line_60,Line_90
Line_123,Line_93,Line_144,Line_175,Line_83,Line_27,Line_89
Line_91,Line_89,Line_107,Line_154,Line_132,Line_46,Line_121
Line_80,Line_96,Line_67,Line_148,Line_92,Line_100,Line_176
Line_86,Line_86,Line_159,Line_121,Line_12,Line_96,Line_114
Line_107,Line_2,Line_122,Line_56,Line_162,Line_20,Line_84
Line_140,Line_19,Line_112,Line_29,Line_40,Line_177,Line_61
Line_67,Line_45,Line_59,Line_183,Line_60,Line_29,Line_82
Line_59,Line_3,Line_131,Line_126,Line_155,Line_170,Line_77
Line_122,Line_47,Line_140,Line_104,Line_166,Line_154,Line_88
Line_12,Line_1,Line_102,Line_10,Line_182,Line_7,Line_102
Line_79,Line_44,Line_85,Line_106,Line_53,Line_77,Line_21
Line_131,Line_18,Line_79,Line_103,Line_138,Line_68,Line_161
Line_136,Line_38,Line_137,Line_5,Line_62,Line_125,Line_175
Line_5,Line_99,Line_5,Line_85,Line_102,Line_51,Line_160
Line_137,Line_98,Line_118,Line_86,Line_105,Line_92,Line_177
Line_46,Line_85,Line_12,Line_23,Line_127,Line_28,Line_146
Line_43,Line_132,Line_134,Line_22,Line_80,Line_82,Line_184
Line_85,Line_162,Line_81,Line_28,Line_36,Line_10,Line_27
Line_42,Line_145,Line_55,Line_20,Line_22,Line_23,Line_178
Line_118,Line_40,Line_23,Line_87,Line_156,Line_126,Line_7
Line_135,Line_146,Line_22,Line_19,Line_123,Line_89,Line_145
Line_81,Line_83,Line_54,Line_21,Line_23,Line_16,Line_94
Line_13,Line_92,Line_132,Line_41,Line_165,Line_117,Line_100
Line_164,Line_21,Line_72,Line_52,Line_81,Line_176,Line_183
Line_14,Line_138,Line_147,Line_81,Line_159,Line_43,Line_101
Line_134,Line_166,Line_39,Line_145,Line_107,Line_65,Line_96
Line_63,Line_52,Line_114,Line_146,Line_59,Line_121,Line_19
Line_54,Line_62,Line_152,Line_18,Line_145,Line_26,Line_95
Line_55,Line_127,Line_136,Line_92,Line_140,Line_3,Line_93
Line_72,Line_41,Line_164,Line_40,Line_91,Line_178,Line_155
Line_23,Line_165,Line_10,Line_84,Line_67,Line_21,Line_173
Line_22,Line_80,Line_116,Line_77,Line_79,Line_104,Line_12
Line_132,Line_36,Line_74,Line_90,Line_171,Line_84,Line_5
Line_114,Line_171,Line_46,Line_162,Line_142,Line_90,Line_157
Line_39,Line_105,Line_43,Line_88,Line_6,Line_22,Line_156
Line_147,Line_107,Line_42,Line_65,Line_141,Line_30,Line_112
Line_152,Line_59,Line_115,Line_31,Line_139,Line_99,Line_41
Line_129,Line_140,Line_153,Line_89,Line_134,Line_38,Line_0
Line_130,Line_122,Line_135,Line_82,Line_146,Line_80,Line_52
Line_10,Line_22,Line_13,Line_64,Line_26,Line_64,Line_108
Line_145,Line_97,Line_0,Line_94,Line_144,Line_103,Line_182
Line_74,Line_114,Line_183,Line_134,Line_27,Line_2,Line_109
Line_146,Line_125,Line_63,Line_47,Line_131,Line_31,Line_130
Line_0,Line_123,Line_113,Line_44,Line_122,Line_62,Line_136
Line_21,Line_158,Line_14,Line_93,Line_41,Line_139,Line_110
Line_41,Line_6,Line_163,Line_45,Line_21,Line_106,Line_129
Line_52,Line_144,Line_87,Line_2,Line_52,Line_162,Line_16
Line_116,Line_23,Line_98,Line_96,Line_158,Line_87,Line_71
Line_28,Line_91,Line_73,Line_1,Line_137,Line_17,Line_14
Line_183,Line_28,Line_117,Line_17,Line_118,Line_147,Line_63
Line_153,Line_131,Line_145,Line_95,Line_9,Line_152,Line_51
Line_115,Line_116,Line_146,Line_132,Line_164,Line_171,Line_66
Line_113,Line_81,Line_104,Line_4,Line_55,Line_127,Line_15
Line_101,Line_67,Line_41,Line_3,Line_39,Line_166,Line_13
Line_100,Line_184,Line_52,Line_186,Line_99,Line_59,Line_56
Line_87,Line_137,Line_21,Line_140,Line_28,Line_18,Line_43
Line_98,Line_54,Line_160,Line_30,Line_10,Line_123,Line_169
Line_163,Line_117,Line_28,Line_38,Line_97,Line_47,Line_168
Line_9,Line_87,Line_61,Line_91,Line_147,Line_81,Line_68
Line_157,Line_73,Line_8,Line_131,Line_87,Line_105,Line_42
Line_142,Line_164,Line_106,Line_55,Line_98,Line_40,Line_159
Line_26,Line_163,Line_130,Line_111,Line_72,Line_67,Line_35
Line_156,Line_118,Line_161,Line_138,Line_74,Line_153,Line_46
Line_141,Line_79,Line_179,Line_6,Line_0,Line_132,Line_128
Line_139,Line_134,Line_182,Line_158,Line_8,Line_44,Line_167
Line_155,Line_10,Line_186,Line_36,Line_54,Line_134,Line_135
Line_104,Line_29,Line_129,Line_113,Line_114,Line_144,Line_170
Line_29,Line_55,Line_29,Line_152,Line_152,Line_118,Line_76
Line_27,Line_8,Line_97,Line_74,Line_117,Line_138,Line_172
Line_186,Line_160,Line_103,Line_79,Line_184,Line_79,Line_150
Line_60,Line_39,Line_30,Line_127,Line_73,Line_1,Line_174
Line_73,Line_179,Line_31,Line_83,Line_186,Line_55,Line_120
Line_117,Line_0,Line_53,Line_153,Line_61,Line_122,Line_78
Line_99,Line_115,Line_185,Line_166,Line_29,Line_74,Line_149
Line_111,Line_74,Line_184,Line_67,Line_115,Line_164,Line_148
Line_182,Line_72,Line_111,Line_123,Line_116,Line_39,Line_154
Line_61,Line_186,Line_60,Line_62,Line_163,Line_45,Line_133
Line_106,Line_11,Line_155,Line_72,Line_113,Line_165,Line_70
Line_53,Line_111,Line_101,Line_39,Line_160,Line_131,Line_69
Line_184,Line_161,Line_20,Line_80,Line_179,Line_140,Line_180
Line_160,Line_185,Line_100,Line_122,Line_161,Line_107,Line_119
Line_125,Line_152,Line_126,Line_118,Line_153,Line_91,Line_37
Line_8,Line_147,Line_11,Line_164,Line_125,Line_158,Line_75
Line_20,Line_20,Line_156,Line_59,Line_111,Line_6,Line_181
Line_161,Line_153,Line_157,Line_171,Line_185,Line_83,Line_49
Line_179,Line_126,Line_27,Line_165,Line_20,Line_137,Line_151
Line_97,Line_113,Line_125,Line_107,Line_104,Line_113,Line_58
Line_185,Line_159,Line_9,Line_137,Line_11,Line_54,Line_25
Line_103,Line_104,Line_139,Line_105,Line_106,Line_72,Line_24
Line_11,Line_106,Line_141,Line_144,Line_126,Line_56,Line_33
Line_126,Line_103,Line_26,Line_147,Line_103,Line_136,Line_143
Line_31,Line_30,Line_142,Line_54,Line_31,Line_0,Line_34
Line_30,Line_31,Line_99,Line_159,Line_30,Line_159,Line_32
